 ARA-D 13% AIRFOIL
1.00000  0.00900
0.97500  0.01322
0.95000  0.01741
0.90000  0.02582
0.85000  0.03425
0.80000  0.04265
0.75000  0.05096
0.70000  0.05907
0.65000  0.06685
0.60000  0.07420
0.55000  0.08099
0.50000  0.08706
0.45000  0.09226
0.40000  0.09642
0.35000  0.09933
0.30000  0.10075
0.25000  0.10053
0.20000  0.09838
0.15000  0.09343
0.10000  0.08382
0.07000  0.07404
0.04000  0.05886
0.02000  0.04276
0.01000  0.03050
0.00300  0.01669
0.00000  0.00000
0.00300 -0.00889
0.01000 -0.01542
0.02000 -0.02059
0.04000 -0.02631
0.07000 -0.03034
0.10000 -0.03181
0.15000 -0.03172
0.20000 -0.03064
0.25000 -0.02947
0.30000 -0.02853
0.35000 -0.02769
0.40000 -0.02680
0.45000 -0.02584
0.50000 -0.02481
0.55000 -0.02369
0.60000 -0.02248
0.65000 -0.02121
0.70000 -0.01985
0.75000 -0.01838
0.80000 -0.01676
0.85000 -0.01493
0.90000 -0.01290
0.95000 -0.01076
0.97500 -0.00979
1.00000 -0.00900
